Marca temporal;¿Cuál es su rol dentro de la universidad?;¿En qué rango de edad se encuentra?;¿Con qué genero se identifica?;Si es posible, indíquenos a qué facultad de la lista pertenece.;¿Conoce la diferencia entre astronomía y ciencias planetarias?;¿Qué desincentiva su interés al leer/investigar sobre ciencias planetarias?;¿Qué haría que aumentara su interés sobre las ciencias planetarias?;¿Le interesaría visitar un blog con artículos acerca del sistema solar?;¿Sobre qué cuerpo/objeto del sistema solar le interesaría aprender con mayor profundidad?;¿Sobre cuáles de estos temas relacionados con los cuerpos del sistema solar le interesaría conocer más?;1. ¿Qué científico colombiano tiene un cráter en la Luna con su nombre?;2. ¿Cuántos planetas tiene nuestro sistema solar;3. ¿Dónde está ubicado el cinturón de asteroides?;4. ¿Cuál es el planeta mas caliente del sistema solar?;5. Con una temperatura promedio de 201° bajo cero en superficie ¿cuál es el planeta más frío del sistema solar?;6. ¿Cuál es el planeta más grande del sistema solar?;7. ¿Quién fue el primer hombre en observar los satélites principales de Júpiter?;8. Uno de los espectáculos más impresionantes a nivel del sistema solar es la presencia de anillos alrededor de Saturno, ¿Cuál de los siguientes planetas también presenta anillos?;9. En comparación al año terrestre (365,25 días), ¿qué planeta del sistema solar tiene una menor duración en su año?;10. Los rovers Curiosity y Oportunity fueron desplegados en la superficie del planeta:;11. ¿Cómo se le llama a la nube esférica de objetos transneptunianos que se encuentra en los límites del sistema solar?
7/4/2020 14:29:30;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;Sí;No está relacionado con mi carrera/profesión;Conocer espacios de divulgación sobre estos temas;Sí;Planetas enanos;Las características atmosféricas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube de Kuiper
7/4/2020 14:30:04;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;No;No sé dónde encontrar información del tema;Conocer personas que compartan el mismo interes;Sí;Marte;Las características geoquímicas de los planetas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Venus;Neptuno;Júpiter;Galileo Galilei;Jupiter;Mercurio;Marte;Nube de Oort
7/4/2020 14:59:24;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias Humanas;Sí;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;La Tierra;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;9;Entre las órbitas Júpiter y Saturno;Venus;Neptuno;Júpiter;Tycho Brahe;Urano;Mercurio;Marte;Nube de Kuiper
7/4/2020 15:06:39;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ingeniería;No;No está relacionado con mi carrera/profesión;Conocer personas que compartan el mismo interes;Sí;Neptuno;Las características geológicas de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Nicolás Copérnico;Jupiter;Venus;Marte;Nube Nimbostrata
7/4/2020 15:10:04;Egresado;Mas de 40 años;Masculino;Facultad de Ciencias Humanas;Sí;La información disponible es muy especializada;Conocer espacios de divulgación sobre estos temas;Sí;Júpiter;Las características atmosféricas de los planetas;Julio Garavito Armero;9;Entre las órbitas de Marte y Júpiter;Mercurio;Pluton;Júpiter;Galileo Galilei;Todas las anteriores;Neptuno;Marte;Nube de Oort
7/4/2020 15:35:52;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ciencias;No;mas que no tener aplicación practica es que no es tan tangible actualmente y es difícil ver un impacto directo en la sociedad;Conocer espacios de divulgación sobre estos temas;Sí;Júpiter;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Salomón Hakim;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
7/4/2020 15:38:07;Estudiante de pregrado o posgrado;Menos de 18 años;Femenino;Facultad de Ciencias;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características físicas de los planetas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Nicolás Copérnico;Ninguna de las anteriores;Mercurio;Marte;Nube Nimbostrata
7/4/2020 16:07:33;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias Económicas;No;La información disponible es muy especializada;Todas las anteriores ;Sí;Todos los anteriores;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Salomón Hakim;10;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Galileo Galilei;Jupiter;Venus;Marte;Nube Nimbostrata
7/4/2020 16:12:41;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Artes;No;No está relacionado con mi carrera/profesión;Contar con la información sintetizada;Sí;El sol;Las características geológicas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Urano;Mercurio;Marte;Nube de Google
7/4/2020 16:16:50;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias Agrarias;No;La información disponible es muy especializada;Contar con la información sintetizada;Sí;Planetas enanos;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características de los satélites de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Júpiter;Galileo Galilei;Neptuno;Mercurio;Marte;Nube de Oort
7/4/2020 16:25:56;Estudiante de pregrado o posgrado;18 a 24 años;Femenino;Facultad de Ciencias;No;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;El sol;Las características de los satélites de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas, Las principales características de los asteroides, Las principales características de los cometas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Venus;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Oort
7/4/2020 16:35:13;Estudiante de pregrado o posgrado;18 a 24 años;Masculino;Facultad de Ingeniería;Sí;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Marte;Las características geológicas de los planetas, Las características atmosféricas de los planetas, Las características geoquímicas de los planetas, Las características físicas de los planetas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Mercurio;Neptuno;Júpiter;Galileo Galilei;Ninguna de las anteriores;Mercurio;Marte;Nube de Oort
7/4/2020 16:39:49;Estudiante de pregrado o posgrado;25 a 30 años;Masculino;Facultad de Ciencias Económicas;Sí;No sé dónde encontrar información del tema;Conocer espacios de divulgación sobre estos temas;Sí;Marte;Las características atmosféricas de los planetas;Julio Garavito Armero;9;Entre las órbitas Júpiter y Saturno;Venus;Pluton;Saturno;Nicolás Copérnico;Jupiter;Venus;Marte;Nube de Oort
7/4/2020 16:41:39;Docente;Mas de 40 años;Masculino;Facultad de Medicina;No;No sé dónde encontrar información del tema;Contar con la información sintetizada;No;La Tierra;Las características geoquímicas de los planetas;Julio Garavito Armero;8;Entre las órbitas Júpiter y Saturno;Mercurio;Pluton;Júpiter;Nicolás Copérnico;Neptuno;Venus;Marte;Nube de Kuiper
7/4/2020 16:55:40;Egresado;18 a 24 años;Masculino;Facultad de Derecho, Ciencias Políticas y Sociales;Sí;No está relacionado con mi carrera/profesión;Contar con la información sintetizada;Sí;Satélites;Las características geoquímicas de los planetas;Julio Garavito Armero;8;Entre las órbitas de Marte y Júpiter;Mercurio;Neptuno;Júpiter;Galileo Galilei;Todas las anteriores;Mercurio;Marte;Nube de Kuiper
